,War,Western,Action,Thriller,Mystery,Musical,Fantasy,Horror,Crime,Animation,Adventure,Drama,Family,History,Music,Comedy,Biography,Romance,Sci-Fi,Sport,Documentary,News,Total
value,0.16666666666666666,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,6.033333333333332
watched_films,12.0,4.0,84.0,88.0,33.0,6.0,47.0,29.0,47.0,20.0,78.0,139.0,48.0,11.0,13.0,115.0,18.0,58.0,52.0,17.0,2.0,0.0,921.0
avg,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101,0.2623188405797101
delta,-0.09565217391304345,-0.0623188405797101,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,-0.01231884057971011,0.0710144927536232,0.0710144927536232,0.0710144927536232,0.0710144927536232,0.0710144927536232,0.0710144927536232,0.0710144927536232,0.0710144927536232,0.2376811594202899,2.0,5.771014492753622
